date,code,side,price,shares,fee,reason,signal_date,stop,target
2026-06-25,002903,sell,50.984495,300,12.647674250000001,three_bars_no_high,2026-06-24,49.5782,63.07357142857143
2026-06-26,003022,sell,26.996495000000003,200,7.6996495000000005,three_bars_no_high,2026-06-25,26.156200000000002,33.902857142857144
2026-06-26,300031,sell,30.56471,400,11.112942,three_bars_no_high,2026-06-25,28.719,32.574285714285715
2026-06-26,000725,add,7.503749999999999,800,5.0,pyramid_add,2026-06-25,6.997199999999999,9.107857142857142
2026-06-26,002536,buy,51.525749999999995,300,5.0,strategy_v5_alpha_entry,2026-06-25,50.1368,61.56928571428571
2026-06-26,300382,buy,19.059525,500,5.0,strategy_v5_alpha_entry,2026-06-25,18.2378,22.89857142857143
2026-06-29,002536,sell,47.526225,300,12.128933749999998,close_stop,2026-06-26,50.1368,61.56928571428571
2026-06-29,000100,buy,5.432714999999999,1200,5.0,strategy_v5_alpha_entry,2026-06-26,5.1842,6.237857142857143
2026-06-29,300416,buy,20.29014,600,5.0,strategy_v5_alpha_entry,2026-06-26,19.061,23.900714285714287
2026-06-30,002106,buy,15.857924999999998,800,5.0,strategy_v5_alpha_entry,2026-06-29,15.19,19.022142857142857
2026-07-01,300382,sell,22.918535000000002,500,10.729633750000001,target_close_confirmed,2026-06-30,20.03142857142857,22.89857142857143
2026-07-02,000100,add,5.88294,1000,5.0,pyramid_add,2026-07-01,5.7428,7.067142857142858
2026-07-02,000970,buy,15.707849999999999,200,5.0,strategy_v5_alpha_entry,2026-07-01,15.0038,18.382857142857144
2026-07-06,000100,sell,5.5972,2200,11.15692,close_stop,2026-07-03,5.7428,7.067142857142858
2026-07-06,300416,sell,20.159915,600,11.0479745,close_stop,2026-07-03,20.026,23.900714285714287
2026-07-06,002106,sell,14.302845000000001,800,10.721138,close_stop,2026-07-03,15.655714285714286,19.022142857142857
2026-07-07,000725,sell,7.65617,2200,13.421787,close_stop,2026-07-06,7.979,9.107857142857142
2026-07-09,000970,sell,15.03248,200,6.503248,end_of_backtest,2026-07-09,15.238,18.382857142857144
