run,selection_policy,selected_candidate_set_hash,trade_candidate_set_hash,selected_count,trade_overlap,total_return,cagr,max_drawdown,sharpe,calmar,profit_factor,trade_count,cluster_expectancy_ci95_low,cluster_expectancy_ci95_high,engine_scope
915,RANDOM,78b9cca03c65bbd280dff370f1346fc3c1b5e31744d00311c97c6fe5a66317f3,78b9cca03c65bbd280dff370f1346fc3c1b5e31744d00311c97c6fe5a66317f3,30,,0.434165,0.434165,-0.032921,3.154429,13.187989,3.077239,30,,,stateful_replay_over_full_engine_hard_pass
916,RANDOM,aa7f0a0801b53f84e6f7122efe2cda564fe7932b97b846b5ffdd87ed1b4f6b31,aa7f0a0801b53f84e6f7122efe2cda564fe7932b97b846b5ffdd87ed1b4f6b31,30,,0.801608,0.801608,-0.057055,2.226088,14.049753,3.952959,30,,,stateful_replay_over_full_engine_hard_pass
917,RANDOM,a97f06e1a59ab4c0d6d30c193d347e8c7dcf9928dca6e10fcb28116ff781d861,a97f06e1a59ab4c0d6d30c193d347e8c7dcf9928dca6e10fcb28116ff781d861,30,,0.576616,0.576616,-0.028636,3.477572,20.136336,3.671883,30,,,stateful_replay_over_full_engine_hard_pass
918,RANDOM,db6f94d5a0fa495a26ee80471c06beb6d2ba217713aa03cbbc7f01ef474a25d1,db6f94d5a0fa495a26ee80471c06beb6d2ba217713aa03cbbc7f01ef474a25d1,30,,0.506688,0.506688,-0.070216,3.338848,7.216110,3.023254,30,,,stateful_replay_over_full_engine_hard_pass
919,RANDOM,050063ef8eb2b48ae44a96cd238046731ca3dbf73efb639820ec7324c2f59415,050063ef8eb2b48ae44a96cd238046731ca3dbf73efb639820ec7324c2f59415,30,,0.275388,0.275388,-0.101407,1.792417,2.715669,2.099550,30,,,stateful_replay_over_full_engine_hard_pass
920,RANDOM,f64318572a6f6c506d6ec5031687dc294c90df6637f66cac7e10e45488080661,f64318572a6f6c506d6ec5031687dc294c90df6637f66cac7e10e45488080661,30,,0.615840,0.615840,-0.027743,3.660459,22.198378,5.208375,30,,,stateful_replay_over_full_engine_hard_pass
921,RANDOM,e905ea01e0be143a746be8b6502b296300b39debd21e8b074e08947d90e23ab5,e905ea01e0be143a746be8b6502b296300b39debd21e8b074e08947d90e23ab5,30,,0.431880,0.431880,-0.040447,3.125483,10.677646,3.071514,30,,,stateful_replay_over_full_engine_hard_pass
922,RANDOM,93be7e5d12159d1da4a253d720a4ee25edb8d7f1a8691064ba3407dfa6964aea,93be7e5d12159d1da4a253d720a4ee25edb8d7f1a8691064ba3407dfa6964aea,30,,0.474449,0.474449,-0.067697,3.080278,7.008400,2.685236,30,,,stateful_replay_over_full_engine_hard_pass
923,RANDOM,c91e855e3c636050eec4c6b286b429d738153c25c0e3a6f5bd39edae42c61b4f,c91e855e3c636050eec4c6b286b429d738153c25c0e3a6f5bd39edae42c61b4f,30,,0.325791,0.325791,-0.100611,2.177262,3.238118,2.426837,30,,,stateful_replay_over_full_engine_hard_pass
924,RANDOM,cd63f02e4d2c4ac700538ce5ba22017514c44301e0fd0f932155c95dfefa3a0d,cd63f02e4d2c4ac700538ce5ba22017514c44301e0fd0f932155c95dfefa3a0d,30,,0.535665,0.535665,-0.124692,2.877871,4.295893,3.170561,30,,,stateful_replay_over_full_engine_hard_pass
925,RANDOM,2115295bb8261c85462182621bfdf7500e9245256beeb221262f88607b36a728,2115295bb8261c85462182621bfdf7500e9245256beeb221262f88607b36a728,30,,0.309088,0.309088,-0.114905,1.830959,2.689944,2.265295,30,,,stateful_replay_over_full_engine_hard_pass
926,RANDOM,1e26b5e353a2b27c2e1113aee60f3600d2e3445865cd316b7d28bc84a5d43f05,1e26b5e353a2b27c2e1113aee60f3600d2e3445865cd316b7d28bc84a5d43f05,30,,1.024847,1.024847,-0.031184,3.158491,32.864979,6.584000,30,,,stateful_replay_over_full_engine_hard_pass
927,RANDOM,1d76509f054b0a34fc29ee8076824fc87ef96e470bdc4f74a1cd940d9aa820c2,1d76509f054b0a34fc29ee8076824fc87ef96e470bdc4f74a1cd940d9aa820c2,30,,0.399250,0.399250,-0.092672,1.937105,4.308182,2.230864,30,,,stateful_replay_over_full_engine_hard_pass
928,RANDOM,63fdc501c46db1801341848493a0d673d8bdf2d08d015919ea51db6853bc2d39,63fdc501c46db1801341848493a0d673d8bdf2d08d015919ea51db6853bc2d39,30,,0.612736,0.612736,-0.075213,1.867579,8.146722,3.192457,30,,,stateful_replay_over_full_engine_hard_pass
929,RANDOM,772606566f6756af571b83ff6a44009deceed87c039338e0d1ce73a7066f2ee4,772606566f6756af571b83ff6a44009deceed87c039338e0d1ce73a7066f2ee4,30,,0.529455,0.529455,-0.067571,2.896203,7.835569,3.411365,30,,,stateful_replay_over_full_engine_hard_pass
930,RANDOM,f0bf80ee8e717662e54e5f8fe614865870d53be56fb33e6ffa85cd1f54556b7f,f0bf80ee8e717662e54e5f8fe614865870d53be56fb33e6ffa85cd1f54556b7f,30,,0.458894,0.458894,-0.102298,2.365023,4.485837,2.414918,30,,,stateful_replay_over_full_engine_hard_pass
931,RANDOM,dfbde929e34fc4f54ba12d21af588d1bcebe0b5909cd60fb1ddc8e23875b51dd,dfbde929e34fc4f54ba12d21af588d1bcebe0b5909cd60fb1ddc8e23875b51dd,30,,0.202943,0.202943,-0.081284,1.361021,2.496734,1.703614,30,,,stateful_replay_over_full_engine_hard_pass
932,RANDOM,b43183d5d65dc47b5a1d6cd366228cc43b37d721d06acdda4b4e48c12867d3be,b43183d5d65dc47b5a1d6cd366228cc43b37d721d06acdda4b4e48c12867d3be,30,,0.599331,0.599331,-0.031166,2.996792,19.230025,3.581056,30,,,stateful_replay_over_full_engine_hard_pass
