run,selection_policy,selected_candidate_set_hash,trade_candidate_set_hash,selected_count,trade_overlap,total_return,cagr,max_drawdown,sharpe,calmar,profit_factor,trade_count,cluster_expectancy_ci95_low,cluster_expectancy_ci95_high,engine_scope
313,RANDOM_WITHIN_TIES,7e2b8d0351e6f341d330d29a183e98f28a8cb76d0e8a9f2fa769b4520409ced3,7e2b8d0351e6f341d330d29a183e98f28a8cb76d0e8a9f2fa769b4520409ced3,30,17,0.293662,0.293662,-0.112427,1.886653,2.612024,1.933835,30,,,stateful_replay_over_full_engine_hard_pass
314,RANDOM_WITHIN_TIES,10bbbf41e3ee257c62bcdb35981a6194c77f9f735a3169fbf60511e246b3ba86,10bbbf41e3ee257c62bcdb35981a6194c77f9f735a3169fbf60511e246b3ba86,30,17,0.264764,0.264764,-0.126511,1.717156,2.092821,1.841941,30,,,stateful_replay_over_full_engine_hard_pass
315,RANDOM_WITHIN_TIES,cd121143204542240b0873ac77d490046142b8e47e7c1d54316a5e32babdb57b,cd121143204542240b0873ac77d490046142b8e47e7c1d54316a5e32babdb57b,30,16,0.326713,0.326713,-0.110283,2.033668,2.962489,2.056801,30,,,stateful_replay_over_full_engine_hard_pass
316,RANDOM_WITHIN_TIES,522533d3c967db3dc321e586236f896ce611c772fa8b83dac53cbe4af2917ce7,522533d3c967db3dc321e586236f896ce611c772fa8b83dac53cbe4af2917ce7,30,15,0.358310,0.358310,-0.107554,2.201070,3.331429,2.174409,30,,,stateful_replay_over_full_engine_hard_pass
317,RANDOM_WITHIN_TIES,70c5d93a062c2fdf4706ebe0cd506616e52c14f7a315974921ea5e1020e96a23,70c5d93a062c2fdf4706ebe0cd506616e52c14f7a315974921ea5e1020e96a23,30,16,0.335890,0.335890,-0.109592,2.078431,3.064908,2.120447,30,,,stateful_replay_over_full_engine_hard_pass
318,RANDOM_WITHIN_TIES,7e2b8d0351e6f341d330d29a183e98f28a8cb76d0e8a9f2fa769b4520409ced3,7e2b8d0351e6f341d330d29a183e98f28a8cb76d0e8a9f2fa769b4520409ced3,30,17,0.293662,0.293662,-0.112427,1.886653,2.612024,1.933835,30,,,stateful_replay_over_full_engine_hard_pass
319,RANDOM_WITHIN_TIES,7ec5365026a57977b1c1fa32904ee23871254fd99e5c985b0f0fdb445baae654,7ec5365026a57977b1c1fa32904ee23871254fd99e5c985b0f0fdb445baae654,30,16,0.321398,0.321398,-0.110283,2.033668,2.914288,2.022033,30,,,stateful_replay_over_full_engine_hard_pass
320,RANDOM_WITHIN_TIES,3cdbaadd421a786a1d7c45bf6dcb90f054fd32bb57cd58581aafb5a7947b5990,3cdbaadd421a786a1d7c45bf6dcb90f054fd32bb57cd58581aafb5a7947b5990,30,16,0.293307,0.293307,-0.112876,1.854593,2.598500,1.948744,30,,,stateful_replay_over_full_engine_hard_pass
321,RANDOM_WITHIN_TIES,cefcb10445b03ef4210b5c375f87a47a6f1fa67a45b577d5f62ab0f7715957ac,cefcb10445b03ef4210b5c375f87a47a6f1fa67a45b577d5f62ab0f7715957ac,30,16,0.369296,0.369296,-0.107147,2.223740,3.446631,2.231882,30,,,stateful_replay_over_full_engine_hard_pass
322,RANDOM_WITHIN_TIES,deb4a584d3e6be103e9a3135d9b3a91c7086d2161b4fe5cbfc23d73c61e0ec2b,deb4a584d3e6be103e9a3135d9b3a91c7086d2161b4fe5cbfc23d73c61e0ec2b,30,16,0.363980,0.363980,-0.107147,2.223740,3.397019,2.192995,30,,,stateful_replay_over_full_engine_hard_pass
323,RANDOM_WITHIN_TIES,7e2b8d0351e6f341d330d29a183e98f28a8cb76d0e8a9f2fa769b4520409ced3,7e2b8d0351e6f341d330d29a183e98f28a8cb76d0e8a9f2fa769b4520409ced3,30,17,0.293662,0.293662,-0.112427,1.886653,2.612024,1.933835,30,,,stateful_replay_over_full_engine_hard_pass
324,RANDOM_WITHIN_TIES,deb4a584d3e6be103e9a3135d9b3a91c7086d2161b4fe5cbfc23d73c61e0ec2b,deb4a584d3e6be103e9a3135d9b3a91c7086d2161b4fe5cbfc23d73c61e0ec2b,30,16,0.363980,0.363980,-0.107147,2.223740,3.397019,2.192995,30,,,stateful_replay_over_full_engine_hard_pass
325,RANDOM_WITHIN_TIES,7ec5365026a57977b1c1fa32904ee23871254fd99e5c985b0f0fdb445baae654,7ec5365026a57977b1c1fa32904ee23871254fd99e5c985b0f0fdb445baae654,30,16,0.321398,0.321398,-0.110283,2.033668,2.914288,2.022033,30,,,stateful_replay_over_full_engine_hard_pass
326,RANDOM_WITHIN_TIES,3cdbaadd421a786a1d7c45bf6dcb90f054fd32bb57cd58581aafb5a7947b5990,3cdbaadd421a786a1d7c45bf6dcb90f054fd32bb57cd58581aafb5a7947b5990,30,16,0.293307,0.293307,-0.112876,1.854593,2.598500,1.948744,30,,,stateful_replay_over_full_engine_hard_pass
327,RANDOM_WITHIN_TIES,7f7e7954891ec55a8358fa771bdb93f1c26c1e660dcbe44bbcbe5d1b3040661e,7f7e7954891ec55a8358fa771bdb93f1c26c1e660dcbe44bbcbe5d1b3040661e,30,16,0.330574,0.330574,-0.109592,2.078431,3.016403,2.083502,30,,,stateful_replay_over_full_engine_hard_pass
328,RANDOM_WITHIN_TIES,70c5d93a062c2fdf4706ebe0cd506616e52c14f7a315974921ea5e1020e96a23,70c5d93a062c2fdf4706ebe0cd506616e52c14f7a315974921ea5e1020e96a23,30,16,0.335890,0.335890,-0.109592,2.078431,3.064908,2.120447,30,,,stateful_replay_over_full_engine_hard_pass
