date,code,name,industry,market_regime,eligible,market_ok,alpha_total,sector_bonus,ranking_score,trend_score,relative_strength_score,volume_quality_score,risk_score,sector_heat_score,entry_score,hard_pass,rank,selected,rejection_reason,shares,stop,target,rr,reasons
2026-03-17,600667,太极实业,建筑业,NORMAL,1,1,70.000000,0.000000,70.000000,35.000000,20.000000,10.000000,5.000000,0.000000,60.000000,1,160,1,,1300,10.995600,13.687857,3.529369,MA20>MA60|MA60>MA120|close>MA20|rs20=19.04|rs60=49.43|up_volume_confirm|high_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-03-19,603803,瑞斯康达,制造业,NORMAL,1,1,75.000000,0.000000,75.000000,35.000000,20.000000,20.000000,0.000000,53.925437,60.000000,1,102,1,,900,12.789000,16.711429,2.530539,MA20>MA60|MA60>MA120|close>MA20|rs20=37.07|rs60=19.04|up_volume_confirm|volume_not_exhausted|pullback_volume_control|high_atr|extended_from_ma20|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-03-19,601991,大唐发电,电力、热力、燃气及水生产和供应业,NORMAL,1,1,72.000000,0.601351,72.601351,35.000000,20.000000,5.000000,12.000000,80.022523,70.000000,1,106,1,,3600,4.057200,4.440000,2.117264,MA20>MA60|MA60>MA120|close>MA20|rs20=15.14|rs60=16.40|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|near_ma20|pullback_reclaimed_ma20|rsi_entry_zone
2026-03-20,601225,陕西煤业,采矿业,NORMAL,1,1,100.000000,0.000000,100.000000,40.000000,20.000000,20.000000,20.000000,60.681195,60.000000,1,2,1,,400,25.676000,30.410714,2.190508,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=19.40|rs60=24.08|up_volume_confirm|volume_not_exhausted|pullback_volume_control|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-03-25,300231,银信科技,信息传输、软件和信息技术服务业,NORMAL,1,1,87.000000,0.000000,87.000000,35.000000,20.000000,20.000000,12.000000,51.616842,60.000000,1,23,1,,1100,12.073600,14.414286,2.014794,MA20>MA60|MA60>MA120|close>MA20|rs20=15.16|rs60=25.55|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-03-25,002980,华盛昌,制造业,NORMAL,1,1,75.000000,0.000000,75.000000,40.000000,20.000000,10.000000,5.000000,57.666102,60.000000,1,192,1,,300,37.886800,49.132857,3.287152,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=65.46|rs60=95.15|volume_not_exhausted|pullback_volume_control|high_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-03-25,000509,华塑控股,制造业,NORMAL,1,1,70.000000,0.000000,70.000000,40.000000,20.000000,10.000000,0.000000,57.666102,60.000000,1,282,1,,3200,4.321800,5.498571,3.387664,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=34.96|rs60=33.33|up_volume_confirm|high_atr|extended_from_ma20|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-03-27,603977,国泰集团,制造业,NORMAL,1,1,82.000000,0.000000,82.000000,35.000000,20.000000,15.000000,12.000000,54.886071,60.000000,1,46,1,,600,15.758400,19.880000,2.319588,MA20>MA60|MA60>MA120|close>MA20|rs20=14.52|rs60=19.08|up_volume_confirm|volume_not_exhausted|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-03-27,000968,蓝焰控股,采矿业,NORMAL,1,1,75.000000,0.000000,75.000000,35.000000,20.000000,20.000000,0.000000,62.607555,60.000000,1,128,1,,100,10.789800,13.925000,3.018457,MA20>MA60|MA60>MA120|close>MA20|rs20=38.95|rs60=77.33|up_volume_confirm|volume_not_exhausted|pullback_volume_control|high_atr|extended_from_ma20|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-03-30,603738,泰晶科技,制造业,NORMAL,1,1,80.000000,0.000000,80.000000,35.000000,20.000000,20.000000,5.000000,56.181332,60.000000,1,83,1,,500,25.097800,32.631429,3.299525,MA20>MA60|MA60>MA120|close>MA20|rs20=17.07|rs60=75.40|up_volume_confirm|volume_not_exhausted|pullback_volume_control|high_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
