code,entry_date,exit_date,net_pnl,exit_reason,signal_date,rank,ranking_score,entry_score,relative_strength_score,reasons
603876,2026-04-14,2026-04-23,-341.130627,time_stop,2026-04-13,1,92.412549,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=17.35|rs60=51.81|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
300201,2026-04-16,2026-04-23,-156.312126,three_bars_no_high,2026-04-15,1,82.753002,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=7.59|rs60=61.72|up_volume_confirm|volume_not_exhausted|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
603158,2026-04-15,2026-04-24,-390.092327,time_stop,2026-04-14,1,87.747896,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=7.82|rs60=28.67|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
002246,2026-04-21,2026-04-24,-654.537629,three_bars_no_high,2026-04-20,1,83.288942,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=7.10|rs60=35.53|up_volume_confirm|volume_not_exhausted|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
300184,2026-04-17,2026-04-30,1506.019878,three_bars_no_high,2026-04-16,1,87.255819,80.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=0.81|rs60=13.92|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|pullback_reclaimed_ma20|price_recovered|volume_confirmed|rsi_entry_zone
301358,2026-04-28,2026-04-30,966.748625,target_close_confirmed,2026-04-27,2,88.039065,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=6.66|rs60=34.00|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
002709,2026-04-28,2026-05-07,696.810591,target_close_confirmed,2026-04-27,1,88.039065,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=13.88|rs60=25.77|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
300432,2026-05-06,2026-05-11,-555.636604,three_bars_no_high,2026-04-30,1,92.892623,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=16.10|rs60=52.01|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
600546,2026-04-28,2026-05-12,992.163591,three_bars_no_high,2026-04-27,4,85.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=3.09|rs60=18.35|volume_not_exhausted|pullback_volume_control|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
603520,2026-04-28,2026-05-13,213.635195,time_stop,2026-04-27,3,86.039065,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=1.84|rs60=8.00|up_volume_confirm|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
600527,2026-05-06,2026-05-13,-49.792270,close_stop,2026-04-30,2,92.892623,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=9.93|rs60=27.23|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
002831,2026-05-12,2026-05-18,-1.523410,three_bars_no_high,2026-05-11,1,88.285823,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=3.14|rs60=42.84|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
300166,2026-05-08,2026-05-19,702.360002,three_bars_no_high,2026-05-07,6,71.265541,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=17.37|rs60=67.74|up_volume_confirm|volume_not_exhausted|high_atr|extended_from_ma20|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
603912,2026-05-14,2026-05-19,-990.896808,three_bars_no_high,2026-05-13,2,87.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=10.70|rs60=27.29|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
003816,2026-05-13,2026-05-21,-1035.599476,close_stop,2026-05-12,1,86.213846,60.000000,10.000000,MA20>MA60|MA60>MA120|close>MA20|rs60=18.04|up_volume_confirm|volume_not_exhausted|pullback_volume_control|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
688690,2026-05-14,2026-05-22,-163.283031,close_stop,2026-05-13,1,87.000000,70.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=3.87|rs60=15.87|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|pullback_reclaimed_ma20|price_recovered|volume_confirmed
300166,2026-05-20,2026-05-22,-1161.896112,close_stop,2026-05-19,2,76.277193,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=24.41|rs60=64.39|up_volume_confirm|volume_not_exhausted|pullback_volume_control|high_atr|extended_from_ma20|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
688191,2026-05-20,2026-05-22,-1070.410793,close_stop,2026-05-19,3,76.277193,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=38.29|rs60=38.90|up_volume_confirm|volume_not_exhausted|pullback_volume_control|high_atr|extended_from_ma20|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
000006,2026-05-20,2026-05-25,-447.439961,three_bars_no_high,2026-05-19,1,77.000000,60.000000,20.000000,MA20>MA60|close>MA20|rs20=16.06|rs60=17.71|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
300536,2026-05-27,2026-05-28,-1050.990586,close_stop,2026-05-26,2,70.000000,70.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=35.51|rs60=31.16|pullback_volume_control|high_atr|trend_ma20_gt_ma60|near_ma20|pullback_reclaimed_ma20|rsi_entry_zone
300199,2026-05-26,2026-05-29,-356.217323,close_stop,2026-05-25,1,87.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=10.04|rs60=34.92|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
301458,2026-05-26,2026-05-29,401.641429,three_bars_no_high,2026-05-25,3,82.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=10.84|rs60=20.66|up_volume_confirm|volume_not_exhausted|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
300221,2026-05-26,2026-06-02,-10.062320,three_bars_no_high,2026-05-25,2,87.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=13.55|rs60=13.38|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
002636,2026-06-01,2026-06-02,-707.215520,close_stop,2026-05-29,1,80.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=12.81|rs60=92.77|up_volume_confirm|volume_not_exhausted|pullback_volume_control|high_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
688478,2026-06-02,2026-06-03,-48.393167,close_stop,2026-06-01,1,70.000000,70.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=49.36|rs60=71.05|pullback_volume_control|high_atr|trend_ma20_gt_ma60|near_ma20|pullback_reclaimed_ma20|rsi_entry_zone
002815,2026-05-27,2026-06-04,-52.509585,three_bars_no_high,2026-05-26,1,82.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=7.18|rs60=3.22|up_volume_confirm|volume_not_exhausted|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
301458,2026-06-03,2026-06-08,1000.542495,target_close_confirmed,2026-06-02,3,75.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=23.05|rs60=24.65|up_volume_confirm|volume_not_exhausted|high_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
601101,2026-06-01,2026-06-09,463.672075,three_bars_no_high,2026-05-29,2,77.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=8.03|rs60=39.10|up_volume_confirm|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
301228,2026-06-03,2026-06-15,557.561790,close_stop,2026-06-02,1,80.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=35.62|rs60=69.65|up_volume_confirm|volume_not_exhausted|pullback_volume_control|high_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
600483,2026-06-04,2026-06-15,-89.786858,time_stop,2026-06-03,1,78.156098,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=14.26|rs60=8.25|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
