decision_date,code,side,reason,candidate_id,order_intent_id,pending_order_id,requested_shares,shares,signal_date,signal_regime,signal_close,planned_stop,planned_target,rr,initial_risk_cash
2026-03-03,603876,sell,close_stop,cand_e87ae7d2ea64838f,intent_cd6323a9ef725b2d,pend_cd6323a9ef725b2d,1000,1000,2026-03-03,BULL,18.500000,19.720000,21.806429,0.000000,487.624000
2026-03-03,002297,sell,close_stop,cand_bb7b342f9082c168,intent_b4703e94dfbc054f,pend_b4703e94dfbc054f,600,600,2026-03-03,BULL,12.090000,12.945800,15.470714,0.000000,498.651000
2026-03-04,600388,sell,close_stop,cand_2be882fe46977565,intent_1607020f0fbe8be9,pend_1607020f0fbe8be9,100,100,2026-03-04,BULL,19.490000,19.613000,21.116429,0.000000,76.087500
2026-03-04,603612,sell,three_bars_no_high,cand_8bbde6c8324f7ab8,intent_639f663da40ba9ea,pend_639f663da40ba9ea,400,400,2026-03-04,BULL,32.980000,32.622000,38.950714,0.000000,1006.920000
2026-03-05,000591,buy,strategy_v5_alpha_ranked_entry,cand_b6cf0a9327b857a3,intent_29f38259d5413d51,pend_d1934310ba66712f,2600,2600,2026-03-05,BULL,6.070000,5.811400,6.792143,2.792509,672.360000
2026-03-05,600863,buy,strategy_v5_alpha_ranked_entry,cand_4a4608029807c99a,intent_c449725ec7b6c04f,pend_457f2f901cdcfb57,900,900,2026-03-05,BULL,5.290000,5.115600,5.733571,2.543414,156.960000
2026-03-05,300215,buy,strategy_v5_alpha_ranked_entry,cand_90f6178a6e25c342,intent_36882b51fad25ed0,pend_5b67e011f2df96cf,1300,1300,2026-03-05,BULL,10.720000,9.927400,12.822143,2.652212,1030.380000
2026-03-05,002270,buy,strategy_v5_alpha_ranked_entry,cand_56f0c153daf8fbe3,intent_1cec853bb2ae1d6c,pend_7fae5d79bbf00af9,400,400,2026-03-05,BULL,36.300000,34.594000,42.257143,3.491877,682.400000
2026-03-06,002270,add,pyramid_add,cand_56f0c153daf8fbe3,intent_8af74ab521d8609a,pend_d3310c09b0f47d5a,100,100,2026-03-06,BULL,36.890000,35.084000,43.119286,3.449217,180.600000
2026-03-10,300215,sell,three_bars_no_high,cand_90f6178a6e25c342,intent_0fc1156b7cb1c4df,pend_0fc1156b7cb1c4df,1300,1300,2026-03-10,BULL,10.810000,10.233000,12.822143,0.000000,790.224500
