run,trade_count,total_return_proxy,cagr_proxy,max_drawdown_proxy,sharpe_proxy,profit_factor,win_rate,cluster_expectancy
229,409,0.030005,0.378062,-0.420085,0.406577,1.400002,0.444988,0.030005
230,409,0.030861,0.388844,-0.355552,0.430303,1.426476,0.435208,0.030861
231,409,0.037161,0.468225,-0.376111,0.501978,1.520836,0.449878,0.037161
232,409,0.024615,0.310154,-0.420085,0.344880,1.319843,0.437653,0.024615
233,409,0.024496,0.308655,-0.420085,0.342595,1.329613,0.432763,0.024496
234,409,0.037481,0.472267,-0.376111,0.519544,1.527137,0.447433,0.037481
235,409,0.024146,0.304237,-0.376111,0.357744,1.333073,0.437653,0.024146
236,409,0.034650,0.436584,-0.376111,0.463185,1.474006,0.440098,0.034650
237,409,0.040882,0.515110,-0.420085,0.557952,1.582521,0.462103,0.040882
238,409,0.032330,0.407358,-0.386988,0.448787,1.442744,0.447433,0.032330
239,409,0.027387,0.345080,-0.386988,0.388612,1.366623,0.452323,0.027387
240,409,0.035548,0.447899,-0.355552,0.499894,1.509738,0.447433,0.035548
241,409,0.030744,0.387378,-0.376111,0.414748,1.410998,0.432763,0.030744
242,409,0.029090,0.366531,-0.376111,0.413162,1.400735,0.437653,0.029090
243,409,0.036429,0.459006,-0.420085,0.485032,1.498510,0.437653,0.036429
244,409,0.024148,0.304264,-0.420085,0.343212,1.314960,0.435208,0.024148
245,409,0.032442,0.408765,-0.420085,0.451606,1.438041,0.452323,0.032442
246,409,0.039950,0.503376,-0.420085,0.553011,1.571666,0.464548,0.039950
247,409,0.037168,0.468314,-0.355552,0.497943,1.510266,0.464548,0.037168
248,409,0.029581,0.372721,-0.386988,0.431055,1.410382,0.444988,0.029581
249,409,0.030612,0.385709,-0.420085,0.418221,1.402358,0.432763,0.030612
250,409,0.033515,0.422291,-0.376111,0.447785,1.455066,0.437653,0.033515
251,409,0.030324,0.382087,-0.420085,0.424211,1.414734,0.444988,0.030324
252,409,0.022176,0.279414,-0.376111,0.327593,1.296245,0.437653,0.022176
253,409,0.019480,0.245454,-0.420085,0.294891,1.259555,0.430318,0.019480
254,409,0.023004,0.289850,-0.420085,0.324821,1.305466,0.432763,0.023004
255,409,0.034022,0.428679,-0.386988,0.465634,1.462881,0.454768,0.034022
256,409,0.025565,0.322124,-0.376111,0.365150,1.338329,0.440098,0.025565
257,409,0.033665,0.424179,-0.420085,0.456040,1.456199,0.447433,0.033665
258,409,0.038065,0.479624,-0.355552,0.527843,1.539407,0.447433,0.038065
259,409,0.023815,0.300065,-0.386988,0.332013,1.311270,0.437653,0.023815
260,409,0.026460,0.333396,-0.376111,0.379417,1.358768,0.444988,0.026460
261,409,0.030833,0.388502,-0.376111,0.431142,1.419900,0.442543,0.030833
262,409,0.027895,0.351481,-0.376111,0.388839,1.372512,0.447433,0.027895
263,409,0.027258,0.343456,-0.420085,0.391872,1.373172,0.447433,0.027258
264,409,0.029381,0.370199,-0.355552,0.406583,1.393702,0.447433,0.029381
265,409,0.024081,0.303416,-0.420085,0.344821,1.322956,0.430318,0.024081
266,409,0.028218,0.355542,-0.355552,0.398132,1.384961,0.437653,0.028218
267,409,0.030993,0.390510,-0.355552,0.419635,1.419922,0.449878,0.030993
268,409,0.036491,0.459784,-0.376111,0.498832,1.510693,0.442543,0.036491
269,409,0.032505,0.409562,-0.386988,0.457549,1.450869,0.444988,0.032505
270,409,0.031785,0.400488,-0.376111,0.430664,1.433186,0.437653,0.031785
271,409,0.034168,0.430520,-0.376111,0.479567,1.478017,0.454768,0.034168
272,409,0.023305,0.293644,-0.420085,0.332050,1.307307,0.427873,0.023305
273,409,0.027189,0.342586,-0.355552,0.382282,1.363354,0.435208,0.027189
274,409,0.022097,0.278424,-0.386988,0.321400,1.293160,0.442543,0.022097
275,409,0.035312,0.444925,-0.420085,0.473574,1.488677,0.447433,0.035312
276,409,0.032844,0.413837,-0.376111,0.470593,1.470894,0.457213,0.032844
277,409,0.024922,0.314017,-0.376111,0.355816,1.338368,0.437653,0.024922
278,409,0.023712,0.298768,-0.420085,0.329550,1.310193,0.437653,0.023712
279,409,0.031881,0.401703,-0.376111,0.427044,1.426106,0.457213,0.031881
280,409,0.030194,0.380443,-0.355552,0.411928,1.409822,0.435208,0.030194
281,409,0.029215,0.368103,-0.420085,0.418982,1.401105,0.457213,0.029215
282,409,0.026841,0.338200,-0.386988,0.376029,1.360130,0.442543,0.026841
283,409,0.016184,0.203915,-0.386988,0.236501,1.206268,0.415648,0.016184
284,409,0.035632,0.448959,-0.355552,0.492564,1.499694,0.444988,0.035632
285,409,0.031832,0.401084,-0.376111,0.438055,1.439473,0.447433,0.031832
286,409,0.038408,0.483940,-0.355552,0.532706,1.548377,0.457213,0.038408
287,409,0.032688,0.411874,-0.420085,0.445210,1.447850,0.449878,0.032688
288,409,0.034640,0.436461,-0.355552,0.491720,1.495944,0.462103,0.034640
289,409,0.034665,0.436781,-0.420085,0.456249,1.452983,0.452323,0.034665
290,409,0.034970,0.440617,-0.376111,0.477200,1.477021,0.449878,0.034970
291,409,0.032896,0.414495,-0.386988,0.457445,1.445937,0.444988,0.032896
292,409,0.027227,0.343062,-0.376111,0.381823,1.360925,0.444988,0.027227
293,409,0.035746,0.450399,-0.355552,0.477674,1.487950,0.444988,0.035746
294,409,0.028271,0.356211,-0.355552,0.405398,1.383259,0.449878,0.028271
295,409,0.027796,0.350225,-0.386988,0.396662,1.375291,0.440098,0.027796
296,409,0.023539,0.296593,-0.355552,0.336375,1.313078,0.435208,0.023539
297,409,0.039920,0.502997,-0.386988,0.551520,1.583042,0.469438,0.039920
298,409,0.034652,0.436612,-0.420085,0.475914,1.485504,0.459658,0.034652
299,409,0.023241,0.292833,-0.376111,0.331593,1.307046,0.427873,0.023241
300,409,0.034336,0.432629,-0.420085,0.456961,1.463125,0.449878,0.034336
301,409,0.027481,0.346262,-0.420085,0.401493,1.370589,0.462103,0.027481
302,409,0.037334,0.470415,-0.355552,0.504060,1.518030,0.457213,0.037334
303,409,0.031376,0.395340,-0.420085,0.431630,1.426976,0.444988,0.031376
304,409,0.031554,0.397575,-0.386988,0.433653,1.428821,0.452323,0.031554
305,409,0.034706,0.437297,-0.386988,0.467834,1.481873,0.447433,0.034706
306,409,0.029904,0.376790,-0.420085,0.437074,1.417779,0.459658,0.029904
307,409,0.037443,0.471780,-0.355552,0.511892,1.538128,0.449878,0.037443
308,409,0.025458,0.320774,-0.386988,0.362290,1.345716,0.442543,0.025458
309,409,0.033209,0.418428,-0.355552,0.470357,1.474461,0.442543,0.033209
310,409,0.027639,0.348253,-0.355552,0.400815,1.380195,0.444988,0.027639
311,409,0.025033,0.315413,-0.386988,0.363333,1.343637,0.437653,0.025033
